number,state,value,hedge_ratio,rebalance_threshold,score,target_final_nav,target_net_pnl,target_annualized_return,target_annualized_volatility,target_sharpe,target_max_drawdown,target_turnover,target_number_of_rebalances,target_total_costs,target_average_health_factor,target_average_idle_ratio,plain_lp_final_nav,plain_lp_net_pnl,plain_lp_annualized_return,plain_lp_annualized_volatility,plain_lp_sharpe,plain_lp_max_drawdown,plain_lp_turnover,plain_lp_number_of_rebalances,plain_lp_total_costs,plain_lp_average_health_factor,plain_lp_average_idle_ratio,fixed_hedge_final_nav,fixed_hedge_net_pnl,fixed_hedge_annualized_return,fixed_hedge_annualized_volatility,fixed_hedge_sharpe,fixed_hedge_max_drawdown,fixed_hedge_turnover,fixed_hedge_number_of_rebalances,fixed_hedge_total_costs,fixed_hedge_average_health_factor,fixed_hedge_average_idle_ratio,buy_hold_final_nav,buy_hold_net_pnl,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_turnover,buy_hold_number_of_rebalances,buy_hold_total_costs,buy_hold_average_health_factor,buy_hold_average_idle_ratio
0,TrialState.COMPLETE,0.286297098672424,0.4434510772507856,0.14408571676918994,0.286297098672424,102838.68227486388,2913.6822748638806,0.029239957980502718,0.10475739827119322,0.3275142227915065,-0.10266123755755852,6336.603790601245,2.0,36.336603790601245,3.722899495034244,0.11046013702968933,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105233.89118199589,5308.8911819958885,0.05327853755598699,0.1121537236362838,0.5188968499410541,-0.10569600955792269,0.0,0.0,0.0,4.404112244385405,0.10679643780939803,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
1,TrialState.COMPLETE,0.43470136712400864,0.6757960621774133,0.10183901810364439,0.43470136712400864,103057.25235706904,3132.252357069039,0.03143348808255819,0.07822388796057467,0.43474781876368174,-0.05462688937363647,15598.45041978574,6.0,105.59845041978573,2.5270356250786383,0.16413493386955016,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105689.94583267065,5764.945832670652,0.057855723510664925,0.08434133733922386,0.7089820876229562,-0.06779091916297852,0.0,0.0,0.0,2.88993740628422,0.16188153545399867,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
2,TrialState.COMPLETE,0.2621894272322781,0.30141211628758374,0.048719342440344315,0.2621894272322781,103563.1136767944,3638.113676794397,0.03651027043761901,0.1285011830308309,0.34334061238869673,-0.1232278287803269,7451.287834669786,6.0,97.45128783466978,5.7095279106871795,0.07255156389425012,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,104955.09227120929,5030.092271209287,0.05048040311525437,0.13156025771491045,0.4401322380831344,-0.12883044119856346,0.0,0.0,0.0,6.479528239145753,0.07284551938382118,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
3,TrialState.COMPLETE,0.15608672006558547,0.23775434790932964,0.13394113749299222,0.15608672006558547,104830.14263509105,4905.142635091048,0.04922636653161527,0.14061700684194647,0.4120664928170488,-0.13914318219218358,0.0,0.0,0.0,8.214395809286671,0.05755508239677798,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,104830.14263509105,4905.142635091048,0.04922636653161527,0.14061700684194647,0.4120664928170488,-0.13914318219218358,0.0,0.0,0.0,8.214395809286671,0.05755508239677798,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
4,TrialState.COMPLETE,0.262370618874838,0.5907247576330856,0.11496870933552546,0.262370618874838,101889.10681644661,1964.1068164466124,0.019710338216408774,0.08789676881186478,0.26602148759997346,-0.07302062015891253,16943.020517440484,6.0,106.94302051744049,2.849389730531062,0.13998903943140367,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105522.96497836607,5597.964978366072,0.05617981625470292,0.09374949704784331,0.6298682323879027,-0.08167240363933159,0.0,0.0,0.0,3.3061223418693184,0.1417734171490353,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
5,TrialState.COMPLETE,0.13833942851588868,0.2133799212922716,0.1463891822594393,0.13833942851588868,104782.29968027212,4857.299680272117,0.048746199628636466,0.14413174728436687,0.4023186343296447,-0.1430828778604576,0.0,0.0,0.0,9.152727713452476,0.05168758630753234,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,104782.29968027212,4857.299680272117,0.048746199628636466,0.14413174728436687,0.4023186343296447,-0.1430828778604576,0.0,0.0,0.0,9.152727713452476,0.05168758630753234,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
6,TrialState.COMPLETE,0.440928091294919,0.741087716520274,0.055480693281393136,0.440928091294919,102866.55397241712,2941.553972417125,0.0295196726210345,0.07011361099282429,0.4499574921717464,-0.042509303803357934,32064.50904607992,23.0,377.06450904607993,2.255809912709677,0.18256926464003062,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105818.1025158145,5893.102515814506,0.05914197599770987,0.07798429942649057,0.775733046844717,-0.05713821824951115,0.0,0.0,0.0,2.6353267981235713,0.1772699401080104,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
7,TrialState.COMPLETE,0.267757568928102,0.3181862286846154,0.052008541182412056,0.267757568928102,103503.42881101235,3578.4288110123452,0.035911274511062796,0.12591199307650547,0.34319167244715054,-0.12017387943582569,7932.461627071663,6.0,97.93246162707166,5.39970275441381,0.07668757426119353,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,104988.01707039103,5063.017070391026,0.050810848159374755,0.1292062496742405,0.44820670545228064,-0.1261072927625837,0.0,0.0,0.0,6.137941064199529,0.07686672986890748,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
8,TrialState.COMPLETE,0.3528691042199801,0.39775745792369954,0.09297077179586853,0.3528691042199801,103877.70203141609,3952.702031416091,0.03966748751725957,0.11309153146161027,0.40053520119471775,-0.1076623145654717,4447.7838784614905,2.0,34.44778387846149,4.255409772195211,0.10030244398919602,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105144.20218953986,5219.202189539865,0.0523783816757033,0.11825541722701789,0.4908447595982134,-0.11315702372187575,0.0,0.0,0.0,4.910048272383925,0.0958987527919763,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
9,TrialState.COMPLETE,0.3625024301605715,0.4807642621173752,0.06494749682376502,0.3625024301605715,103305.86719043698,3380.867190436984,0.03392855744818113,0.10100766533621709,0.38083960867585476,-0.09024301478033103,12401.773087158648,8.0,132.40177308715866,3.4618435888820764,0.11867467889107561,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105307.13077223393,5382.130772233926,0.05401360198510807,0.10729135239420212,0.543936419128064,-0.09959015088928558,0.0,0.0,0.0,4.062299286774501,0.11567902133844314,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
10,TrialState.COMPLETE,0.18677988369647922,0.83569744815278,0.03071966195469808,0.18677988369647922,101155.84865046009,1230.8486504600878,0.012351772838865793,0.06378893381702504,0.22432960520921663,-0.026949931340060518,78448.4325797482,89.0,1413.4484325797482,1.9948157248966394,0.2018520135369325,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,106003.80571971067,6078.805719710668,0.06100580529637201,0.07054720356338741,0.8745919577504138,-0.043339745012970776,0.0,0.0,0.0,2.336980115738057,0.19950379261451373,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
