strategy_name,regime,observations,compounded_return_inside_regime,annualized_volatility_inside_regime,sharpe_inside_regime,local_max_drawdown_inside_regime,total_lp_fees,total_turnover,number_of_rebalances,total_costs,average_health_factor,average_idle_ratio
buy_hold_50_50,downtrend,669,-57.15202710445333,54.33042610265859,-1.8405613963377347,-29.974040830693404,0.0,0.0,0,0.0,,0.0
fractal_dynamic_aave_hedged_lp,downtrend,669,-7.165399518885596,10.11882451056218,-6.149574984450191,-1.818441604015486,1181.0121781303988,11443.370990879284,7,116.44337099087929,2.1186045772959083,21.944148436825138
fractal_fixed_hedge_lp,downtrend,669,-9.418424220040222,11.941162364208303,-6.081277448714855,-3.90799564898483,1181.0121781303988,0.0,0,0.0,2.4957091785075973,20.50563038532255
fractal_plain_uniswap_v2_lp,downtrend,669,-59.31806501232803,65.25141279875979,-1.5325220953084802,-33.56525525321003,2362.0243562607975,0.0,0,0.0,,0.0
buy_hold_50_50,high_vol_chop,1573,11.421147064536008,41.56856705893621,1.987693640852473,-28.720318960425285,0.0,0.0,0,0.0,,0.0
fractal_dynamic_aave_hedged_lp,high_vol_chop,1573,2.4282214711573546,6.344655876402933,2.2530545758337897,-1.9271150633904943,1087.4002683548235,1368.8846438005132,1,16.368884643800513,2.0035798892903185,21.63362840385958
fractal_fixed_hedge_lp,high_vol_chop,1573,2.9097983075138334,7.434211828548687,2.329739180430734,-3.805003464810708,1087.4002683548235,0.0,0,0.0,2.337772242141296,20.3799591641179
fractal_plain_uniswap_v2_lp,high_vol_chop,1573,14.06280867908074,44.453753454355734,2.4313295044258987,-32.09017416762627,2174.800536709647,0.0,0,0.0,,0.0
buy_hold_50_50,sideways,5758,-8.996351428095839,24.731177813205342,-0.5402475674463847,-30.650470884357585,0.0,0.0,0,0.0,,0.0
fractal_dynamic_aave_hedged_lp,sideways,5758,2.5369338562331256,5.628852092686633,0.6901968532508248,-1.7387969909734569,2263.622726689742,2181.9720343500426,1,17.181972034350043,1.9480984942889976,21.166267034617192
fractal_fixed_hedge_lp,sideways,5758,2.499216229572454,5.805196547603559,0.659217130347536,-3.2274007812417516,2263.622726689742,0.0,0,0.0,2.264932066779232,20.22839927694902
fractal_plain_uniswap_v2_lp,sideways,5758,-3.996725541153967,25.13804912206435,-0.23934650246347242,-32.518511278390584,4527.245453379484,0.0,0,0.0,,0.0
buy_hold_50_50,uptrend,713,116.80315369082108,43.32933478834484,31054.622739751205,-29.40757155253403,0.0,0.0,0,0.0,,0.0
fractal_dynamic_aave_hedged_lp,uptrend,713,6.467348767336056,6.317779146962418,18.355415827182934,-1.727653199608159,597.3882758081613,7188.738626553135,4,67.18873862655313,1.9319013850153837,21.811674336577514
fractal_fixed_hedge_lp,uptrend,713,11.022577214672037,7.865213962065928,33.22864158630214,-3.2904731542051535,597.3882758081613,0.0,0,0.0,2.3015464068030895,20.301210325446338
fractal_plain_uniswap_v2_lp,uptrend,713,134.70563340765455,48.04217401319842,74243.711418937,-31.547832930491882,1194.7765516163226,0.0,0,0.0,,0.0
buy_hold_50_50,warmup,24,-0.05942452043364854,12.057056068863425,-1.6176505121254665,-0.5486715119742636,0.0,0.0,0,0.0,,0.0
fractal_dynamic_aave_hedged_lp,warmup,24,0.030805949062107096,6.207262156860647,1.916910439720949,-0.15441189057988636,7.307572109220294,0.0,0,0.0,1.8939346826182806,21.231800650992113
fractal_fixed_hedge_lp,warmup,24,0.030805949062107096,6.207262156860647,1.916910439720949,-0.15441189057988636,7.307572109220294,0.0,0,0.0,1.8939346826182806,21.231800650992113
fractal_plain_uniswap_v2_lp,warmup,24,0.004463946399990704,12.80265555051559,0.12830538197495356,-0.6023637315637265,14.615144218440587,0.0,0,0.0,,0.0
