strategy_name,final_nav,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,turnover,number_of_rebalances,total_costs,average_health_factor,average_idle_ratio,mc_scenario,mc_path_id,mc_seed,mc_max_hedge_error,mc_lp_delta_change
buy_hold_50_50,90135.31674546101,-9864.683254538992,-0.09865752010051199,0.13419294982669705,-0.70685163064048,-0.17292103828780447,0.0,0,0.0,inf,0.0,sideways_low_vol,0,42,,
fractal_dynamic_aave_hedged_lp,54878.133337166924,-45046.866662833076,-0.4508443471098347,0.3299173154251349,-1.6515418786990992,-0.4549059178089251,135314.24096307612,224,3495.314240963076,11.352184433215337,0.10381995355430838,sideways_low_vol,0,42,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,58370.031138048915,-41554.968861951085,-0.4158974374496247,0.32394486375573006,-1.4976115502802014,-0.4349401695222206,0.0,0,0.0,2.389521662481297,0.306913344574951,sideways_low_vol,0,42,,
fractal_plain_uniswap_v2_lp,6010.360341024778,-93839.63965897523,-0.9398254148940974,1.4095467065007121,-1.289424627804301,-0.941350931197955,0.0,0,0.0,inf,0.0,sideways_low_vol,0,42,,
buy_hold_50_50,84061.47305676396,-15938.526943236036,-0.15940193202210906,0.1387798856811746,-1.1816644491872523,-0.18730324362791861,0.0,0,0.0,inf,0.0,sideways_low_vol,1,43,,
fractal_dynamic_aave_hedged_lp,100622.62282985818,697.6228298581846,0.006982264234884461,0.37997187308006786,0.20826988655645187,-0.2857372304790654,150805.8036478499,94,1560.8058036478499,2.2870669769731413,0.2023332515191053,sideways_low_vol,1,43,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,102695.12863387872,2770.1286338787177,0.027725286354360446,0.3753102836521752,0.26048710975796646,-0.28227706150438914,0.0,0,0.0,2.2691741403542545,0.2165883395341902,sideways_low_vol,1,43,,
fractal_plain_uniswap_v2_lp,89598.92387404558,-10251.076125954423,-0.10267585600100182,0.8543183356016631,0.30028832359850494,-0.5178932962004572,0.0,0,0.0,inf,0.0,sideways_low_vol,1,43,,
buy_hold_50_50,114094.54585979099,14094.54585979099,0.14096263442664192,0.15970030446540473,0.9054981392787981,-0.10579574292708249,0.0,0,0.0,inf,0.0,sideways_low_vol,2,44,,
fractal_dynamic_aave_hedged_lp,192421.58721630502,92496.58721630502,0.9258041830400705,0.6298211832251794,1.3549543999403064,-0.3986704787184766,62901.2594656739,37,617.9012594656739,1.7698989652426904,0.15609688595210056,sideways_low_vol,2,44,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,193002.51735001267,93077.51735001267,0.9316189443514924,0.6290906666451507,1.3605909234383937,-0.3979965026447778,0.0,0,0.0,1.705551308616303,0.16427807924660723,sideways_low_vol,2,44,,
fractal_plain_uniswap_v2_lp,296186.07653065433,196336.07653065433,1.9666784833275774,0.9986277612915109,1.5870887451394364,-0.5224869918955206,0.0,0,0.0,inf,0.0,sideways_low_vol,2,44,,
