mc_scenario,strategy_name,n_paths,final_nav_mean,final_nav_median,final_nav_p05,final_nav_p95,net_pnl_mean,net_pnl_median,net_pnl_p05,net_pnl_p95,annualized_return_mean,annualized_return_median,annualized_return_p05,annualized_return_p95,annualized_volatility_mean,annualized_volatility_median,annualized_volatility_p05,annualized_volatility_p95,sharpe_mean,sharpe_median,sharpe_p05,sharpe_p95,max_drawdown_mean,max_drawdown_median,max_drawdown_p05,max_drawdown_p95,turnover_mean,turnover_median,turnover_p05,turnover_p95,number_of_rebalances_mean,number_of_rebalances_median,number_of_rebalances_p05,number_of_rebalances_p95,total_costs_mean,total_costs_median,total_costs_p05,total_costs_p95,average_health_factor_mean,average_health_factor_median,average_health_factor_p05,average_health_factor_p95,average_idle_ratio_mean,average_idle_ratio_median,average_idle_ratio_p05,average_idle_ratio_p95,mc_max_hedge_error_mean,mc_max_hedge_error_median,mc_max_hedge_error_p05,mc_max_hedge_error_p95,mc_lp_delta_change_mean,mc_lp_delta_change_median,mc_lp_delta_change_p05,mc_lp_delta_change_p95
crash_recovery,buy_hold_50_50,12,100295.01183179395,94641.41777849723,63873.52042318873,167139.9637490682,295.01183179396804,-5358.582221502773,-36126.47957681127,67139.9637490682,0.002957108968491042,-0.05359148895929605,-0.3612973373479854,0.6714976765809242,0.3909033232988952,0.4014057978897097,0.271278956857368,0.4847387653133086,-0.08314727650114834,0.037853187110809774,-1.4991490238332181,1.3444078761061171,-0.38610480116848533,-0.3873117063202196,-0.4781986829845967,-0.2780895000286072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
crash_recovery,fractal_dynamic_aave_hedged_lp,12,1619533.502976705,164578.92802952506,54791.29068662138,7935694.041337222,1519608.5029767046,64653.92802952506,-45133.70931337862,7835769.041337222,15.216020658266443,0.6471254646455717,-0.4517128531079213,78.4616801905926,1.4181443279017267,1.2548090905253364,0.5900105854309134,2.9556496715259963,0.9904970675553115,1.0201707054904325,-0.3818794842569823,2.661696280045951,-0.685870070879565,-0.6730271418246682,-0.8863861245490455,-0.45186828876934565,240171.64570132378,244094.10405507006,22060.47302129949,453900.65361016477,211.25,167.0,10.850000000000001,528.8499999999998,3408.921645701324,2796.303545509397,184.8104730212995,8337.988060871536,5.830780490363249,2.405489148412861,1.3109208144731754,21.416919595179902,0.12048493976686235,0.12197677405103843,0.029909140439445488,0.20112013496557193,0.8492448544570658,0.8492448544570659,0.8492448544570659,0.8492448544570659,-0.6659922236333838,-0.6659922236333837,-0.6659922236333837,-0.6659922236333837
crash_recovery,fractal_fixed_hedge_lp,12,1628422.5057343543,165866.31090607654,68985.10155235,7961225.349688453,1528497.5057343543,65941.31090607654,-30939.898447650008,7861300.349688453,15.304995090316458,0.6600122060355306,-0.30966040112866955,78.71727296259758,1.4020551394723464,1.240850496763533,0.5710301605122741,2.9346790463193804,1.0610309514460845,1.0153811479535162,-0.2725960898301386,2.7061276382023056,-0.6724647999452453,-0.6672112284287048,-0.8834334196209822,-0.4443077037741531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.718729798248534,2.2783528035625853,1.4533465716837832,5.186444000572493,0.16854940511090888,0.16508492721385537,0.03853133393212399,0.2721444737285376,,,,,,,,
crash_recovery,fractal_plain_uniswap_v2_lp,12,3154939.1067700568,223839.41828791113,15597.238729108447,15878376.870144736,3055089.1067700568,123989.41828791113,-84252.76127089155,15778526.870144736,30.61625764990127,1.2419940975947972,-0.8438260179209962,158.12528325808356,2.235933521781459,1.7880411618975987,1.7137126762779438,3.8694529345676525,1.3968622977934813,1.390857707049678,0.08011170828007463,2.894967362176327,-0.8550245363663128,-0.878086284110142,-0.9611418886297401,-0.6860280175334574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
high_vol_chop,buy_hold_50_50,12,99580.77044709768,80862.5375890413,59892.463908713165,189246.9985466792,-419.2295529023322,-19137.462410958702,-40107.536091286835,89246.9985466792,-0.004179382415040585,-0.1913938305595455,-0.40111029291853517,0.8926211814286131,0.4067206086389427,0.39532540772459884,0.29375926735005886,0.5482616358314064,-0.20414463932368712,-0.3180918691286567,-1.5504489451063805,1.5301852179994055,-0.41284547358975043,-0.4003435790221766,-0.5151737935605534,-0.3061477032417196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
high_vol_chop,fractal_dynamic_aave_hedged_lp,12,186538.95836596334,92316.06998135407,54427.72327556808,639380.3596913808,86613.95836596335,-7608.9300186459295,-45497.27672443192,539455.3596913808,0.8670564350935218,-0.07615450232514631,-0.45535157131595905,5.400099174736326,1.0049789220491558,0.7598498324656819,0.5049611796394831,2.005420296650408,0.41021387118300684,0.38634813571946613,-0.718289198079702,1.8014044993754972,-0.6488830841374841,-0.5928205055305541,-0.8680733659971319,-0.5092792923936648,307654.674700382,263270.650195043,126997.00637448304,669083.9564002982,200.25,193.0,67.2,399.1499999999999,3311.4046747003813,3203.405490740121,1142.2821313828733,6656.333956400297,3.1891429128777475,2.421471783678926,1.5702925016191245,7.433206085309104,0.1736567009323843,0.18887199401056892,0.08192754646379669,0.2503044717608234,0.8492448544570658,0.8492448544570659,0.8492448544570659,0.8492448544570659,-0.6659922236333838,-0.6659922236333837,-0.6659922236333837,-0.6659922236333837
high_vol_chop,fractal_fixed_hedge_lp,12,187828.6014276848,87113.85129212438,51131.68768646534,642158.9749993315,87903.60142768481,-12811.148707875618,-48793.31231353466,542233.9749993315,0.8799649016319774,-0.12822077638898238,-0.48833748528824095,5.4279125177821115,1.0001721533736596,0.7870240414876069,0.49000214804593467,1.9818723256729363,0.40017803573229155,0.41551790173188696,-0.7853793205490738,1.8106698386985625,-0.6551582780720159,-0.5762414674452485,-0.8641472750869933,-0.5178768191395666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3843934750620694,2.8571174784016904,1.4983558281717155,6.419839869695336,0.19438196477370318,0.19859708604129334,0.10365697715593544,0.2603326737630509,,,,,,,,
high_vol_chop,fractal_plain_uniswap_v2_lp,12,272942.71181646927,76268.92160020297,14634.925998298884,1168720.9280861432,173092.7118164693,-23581.07839979702,-85215.07400170111,1068870.9280861432,1.7341813210794674,-0.23618630045517125,-0.853459845125721,10.708353466633028,1.8548384672416711,1.4779330250832414,1.460229766419873,3.023926105389814,0.7796838080616358,0.8091945781034018,-0.6472836370093378,2.1037194825396406,-0.8495204116411065,-0.8549151849407941,-0.9763071565375341,-0.7070164971986335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
sideways_low_vol,buy_hold_50_50,12,99182.2161796766,97423.75821517853,87063.02161821822,117454.50267811843,-817.7838203233914,-2576.241784821468,-12936.97838178178,17454.50267811842,-0.008178078615001092,-0.0257653140560139,-0.12938350570840146,0.17456666736385684,0.14890394196327467,0.14985221316390523,0.1367157645466597,0.1587867782625255,-0.04806128049861217,-0.10331648582095976,-0.9319124185044585,1.1069449246878602,-0.15950891577385432,-0.16592950244633353,-0.2239082893986846,-0.09176260070751303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
sideways_low_vol,fractal_dynamic_aave_hedged_lp,12,114362.95288426959,110055.47404578325,65536.065455122,189010.67093275645,14437.9528842696,10130.474045783252,-34388.93454487799,89085.67093275645,0.14451379217955948,0.10139298434560917,-0.34417821873245136,0.891663031482891,0.457301533169354,0.443099915155959,0.2861985781722929,0.7328172499240504,0.1973953224020304,0.5055087818650452,-1.2161708029382572,1.3621134131813104,-0.37337949003505333,-0.3843166216832774,-0.5177606520374638,-0.250068054074603,86123.40426182392,86073.60800349269,30503.549896837332,142285.4441712243,72.83333333333333,57.0,14.750000000000002,154.6999999999999,1178.623404261824,948.313868039234,251.75354989683734,2431.3346004397004,3.2108695467517916,2.0847359600108124,1.681670168019886,7.541449009404555,0.1607203856451966,0.16172022371098818,0.11042703772115788,0.20293229771448343,0.8492448544570658,0.8492448544570659,0.8492448544570659,0.8492448544570659,-0.6659922236333838,-0.6659922236333837,-0.6659922236333837,-0.6659922236333837
